entry_time,exit_time,direction,strategy,entry_price,exit_price,sl_price,tp_price,sl_pips,tp_pips,volume_units,pnl_pips,pnl_usd,exit_reason,bars_held
2023-01-04T10:00:00,2023-01-04T15:00:00,Buy,TrendFollowing,1.06216,1.05819,1.05819,1.07010,39.7,79.4,1000,-39.72,-4.0421,SL,5
2023-01-16T12:00:00,2023-01-17T12:00:00,Sell,TrendFollowing,1.08140,1.08490,1.08490,1.07440,35.0,70.0,1000,-35.02,-3.5716,SL,24
2023-01-17T12:00:00,2023-01-17T15:00:00,Buy,TrendFollowing,1.08535,1.08202,1.08202,1.09201,33.3,66.6,2000,-33.29,-6.7980,SL,3
2023-01-17T16:00:00,2023-01-18T02:00:00,Sell,TrendFollowing,1.07916,1.07822,1.07822,1.07055,43.0,86.1,1000,+9.36,+0.8663,Trail,10
2023-01-18T09:00:00,2023-01-18T11:00:00,Buy,TrendFollowing,1.08707,1.08299,1.08299,1.09523,40.8,81.6,1000,-40.79,-4.1490,SL,2
2023-01-19T10:00:00,2023-01-19T15:00:00,Buy,TrendFollowing,1.08298,1.07941,1.07941,1.09011,35.7,71.3,1000,-35.65,-3.6351,SL,5
2023-01-26T15:00:00,2023-01-26T20:00:00,Sell,TrendFollowing,1.08541,1.08919,1.08919,1.07785,37.8,75.6,1000,-37.78,-3.8484,SL,5
2023-01-30T09:00:00,2023-01-30T15:00:00,Buy,TrendFollowing,1.09026,1.08723,1.08723,1.09632,30.3,60.6,2000,-30.32,-6.2036,SL,6
2023-01-30T18:00:00,2023-01-31T05:00:00,Sell,TrendFollowing,1.08533,1.08450,1.08450,1.07882,32.5,65.1,2000,+8.30,+1.5195,Trail,11
2023-01-31T18:00:00,2023-02-01T10:00:00,Buy,TrendFollowing,1.08732,1.08808,1.08808,1.09416,34.2,68.4,1000,+7.58,+0.6878,Trail,16
2023-02-08T07:00:00,2023-02-08T14:00:00,Buy,TrendFollowing,1.07596,1.07247,1.07247,1.08294,34.9,69.8,1000,-34.91,-3.5610,SL,7
2023-02-13T15:00:00,2023-02-14T07:00:00,Buy,TrendFollowing,1.07205,1.07343,1.07343,1.07844,31.9,63.9,2000,+13.83,+2.6256,Trail,16
2023-02-16T11:00:00,2023-02-16T12:00:00,Buy,TrendFollowing,1.07060,1.06936,1.06777,1.07626,28.3,56.6,2000,-12.40,-2.6200,StratExit,1
2023-02-16T12:00:00,2023-02-16T13:00:00,Sell,TrendFollowing,1.06926,1.06803,1.06803,1.06353,28.6,57.3,2000,+12.26,+2.3113,Trail,1
2023-02-17T19:00:00,2023-02-17T20:00:00,Buy,TrendFollowing,1.06971,1.06944,1.06633,1.07646,33.8,67.5,1000,-2.70,-0.3400,FriClose,1
2023-02-27T18:00:00,2023-02-28T09:00:00,Buy,TrendFollowing,1.06075,1.06147,1.06147,1.06679,30.2,60.4,2000,+7.18,+1.2967,Trail,12
2023-03-02T13:00:00,2023-03-03T06:00:00,Sell,TrendFollowing,1.05848,1.06181,1.06181,1.05182,33.3,66.6,2000,-33.32,-6.8037,SL,12
2023-03-07T17:00:00,2023-03-08T02:00:00,Sell,TrendFollowing,1.05660,1.05464,1.05464,1.04879,39.0,78.1,1000,+19.56,+1.8860,Trail,6
2023-03-09T18:00:00,2023-03-10T07:00:00,Buy,TrendFollowing,1.05905,1.05957,1.05957,1.06486,29.1,58.1,2000,+5.20,+0.8997,Trail,10
2023-03-15T10:00:00,2023-03-15T13:00:00,Sell,TrendFollowing,1.06259,1.05403,1.05403,1.05294,48.2,96.5,1000,+85.62,+8.4915,Trail,1
2023-04-03T16:00:00,2023-04-04T02:00:00,Buy,TrendFollowing,1.08913,1.08964,1.08964,1.09622,35.4,70.9,1000,+5.11,+0.4410,Trail,6
2023-04-06T17:00:00,2023-04-09T22:00:00,Buy,TrendFollowing,1.09351,1.09044,1.09044,1.09965,30.7,61.4,2000,-30.72,-6.2840,SL,8
2023-04-11T10:00:00,2023-04-11T15:00:00,Buy,TrendFollowing,1.09139,1.09183,1.09183,1.09653,25.7,51.4,2000,+4.37,+0.7333,Trail,3
2023-04-19T08:00:00,2023-04-19T09:00:00,Sell,TrendFollowing,1.09615,1.09579,1.09579,1.09116,25.0,49.9,2000,+3.64,+0.5884,Trail,1
2023-04-21T07:00:00,2023-04-21T09:00:00,Sell,TrendFollowing,1.09407,1.09658,1.09658,1.08904,25.1,50.3,2000,-25.13,-5.1658,SL,2
2023-04-21T18:00:00,2023-04-21T21:00:00,Buy,TrendFollowing,1.09818,1.09874,1.09500,1.10453,31.8,63.5,2000,+5.60,+0.9800,FriClose,2
2023-04-25T18:00:00,2023-04-26T07:00:00,Sell,TrendFollowing,1.09675,1.09981,1.09981,1.09064,30.6,61.1,2000,-30.57,-6.2546,SL,10
2023-04-26T10:00:00,2023-04-26T11:00:00,Buy,TrendFollowing,1.10420,1.10516,1.10516,1.11008,29.4,58.8,2000,+9.57,+1.7733,Trail,1
